pub_ID,included,sp_name,genus,species,clone.strain,study_type,polymer,size_um_mean,size_um_SD,size_nm_mean,size_nm_sd,particles_per_mg,shape,color,fluorescence,modified,mod_type,surface_charge,surfactant,biotic_env,weathered,density_gcm-3,excitation_nm,emission_nm,company,MP_comments,age_d,generation,age_comment,food_source,food_present,temperature,pH,DOC_added,DOC_type,other_added,other_type,exp_time_h,exp_time_d,conc_p_ml-1,conc_mg_ml-1,conc_mg_l-1,conc_ppm,extracted_by,c_n_replicates,c_mean,c_SD,c_SE,c_ind_per_replicate,c_n_individuals,c_dead,c_alive,t_n_replicates,t_mean,t_SD,t_SE,t_ind_per_replicate,t_n_individuals,t_dead,t_alive,data_comment
Al-Jaibachi2018,yes,Daphnia magna,Daphnia,magna,NA,lab,PS,2,NA,2e3,NA,NA,spherical,green,no,no,carboxylated,negative,no,no,no,1.05,470,505,"Sigma-Aldrich,UK",,18,0,,Chlorella vulgaris,yes,20,,no,NA,no,NA,504,21,NA,NA,0.00139,NA,MM,5,1,0,NA,1,5,NA,NA,5,0.6,0.548,NA,1,5,NA,NA,calculated from raw data; Al-Jaibachi2018_Mortality.R; proportion of dead individuals
Al-Jaibachi2018,yes,Daphnia magna,Daphnia,magna,NA,lab,PS,2,NA,2e3,NA,NA,spherical,green,no,no,carboxylated,negative,no,no,no,1.05,470,505,"Sigma-Aldrich,UK",,18,0,,Chlorella vulgaris,yes,20,,no,NA,no,NA,504,21,NA,NA,0.0111,NA,MM,5,0,0,NA,1,5,NA,NA,5,0.4,0.548,NA,1,5,NA,NA,calculated from raw data; Al-Jaibachi2018_Mortality.R; proportion of dead individuals
Al-Jaibachi2018,yes,Daphnia magna,Daphnia,magna,NA,lab,PS,2,NA,2e3,NA,NA,spherical,green,no,no,carboxylated,negative,no,no,no,1.05,470,505,"Sigma-Aldrich,UK",,18,0,,Chlorella vulgaris,yes,20,,no,NA,no,NA,504,21,NA,NA,0.00139,NA,MM,5,0,0,NA,1,5,NA,NA,5,0,0,NA,1,5,NA,NA,calculated from raw data; Al-Jaibachi2018_Mortality.R; proportion of dead individuals
Al-Jaibachi2018,yes,Daphnia magna,Daphnia,magna,NA,lab,PS,2,NA,2e3,NA,NA,spherical,green,no,no,carboxylated,negative,no,no,no,1.05,470,505,"Sigma-Aldrich,UK",,18,0,,Chlorella vulgaris,yes,20,,no,NA,no,NA,504,21,NA,NA,0.0111,NA,MM,5,1,0,NA,1,5,NA,NA,5,1,0,NA,1,5,NA,NA,calculated from raw data; Al-Jaibachi2018_Mortality.R; proportion of dead individuals
Al-Jaibachi2018,yes,Daphnia magna,Daphnia,magna,NA,lab,PS,2,NA,2e3,NA,NA,spherical,green,no,no,carboxylated,negative,no,no,no,1.05,470,505,"Sigma-Aldrich,UK",,0,0,,Chlorella vulgaris,yes,20,,no,NA,no,NA,504,21,NA,NA,0.00139,NA,MM,5,0.84,0.167,NA,5,25,NA,NA,5,0.96,0.0894,NA,5,25,NA,NA,calculated from raw data; Al-Jaibachi2018_Mortality.R; proportion of dead individuals; this is neonates
Al-Jaibachi2018,yes,Daphnia magna,Daphnia,magna,NA,lab,PS,2,NA,2e3,NA,NA,spherical,green,no,no,carboxylated,negative,no,no,no,1.05,470,505,"Sigma-Aldrich,UK",,0,0,,Chlorella vulgaris,yes,20,,no,NA,no,NA,504,21,NA,NA,0.0111,NA,MM,5,0.76,0.0894,NA,5,25,NA,NA,5,0.72,0.179,NA,5,25,NA,NA,calculated from raw data; Al-Jaibachi2018_Mortality.R; proportion of dead individuals; this is neonates
Al-Jaibachi2018,yes,Daphnia magna,Daphnia,magna,NA,lab,PS,2,NA,2e3,NA,NA,spherical,green,no,no,carboxylated,negative,no,no,no,1.05,470,505,"Sigma-Aldrich,UK",,0,0,,Chlorella vulgaris,yes,20,,no,NA,no,NA,504,21,NA,NA,0.00139,NA,MM,5,0.76,0.0894,NA,5,25,NA,NA,5,0.36,0.167,NA,5,25,NA,NA,calculated from raw data; Al-Jaibachi2018_Mortality.R; proportion of dead individuals; this is neonates
Al-Jaibachi2018,yes,Daphnia magna,Daphnia,magna,NA,lab,PS,2,NA,2e3,NA,NA,spherical,green,no,no,carboxylated,negative,no,no,no,1.05,470,505,"Sigma-Aldrich,UK",,0,0,,Chlorella vulgaris,yes,20,,no,NA,no,NA,504,21,NA,NA,0.0111,NA,MM,5,0.84,0.167,NA,5,25,NA,NA,5,0.84,0.0894,NA,5,25,NA,NA,calculated from raw data; Al-Jaibachi2018_Mortality.R; proportion of dead individuals; this is neonates
Al-Jaibachi2020,no,Daphnia magna,Daphnia,magna,NA,lab,PS,15,NA,1.5e4,NA,NA,spherical,green,yes,yes,carboxylated,negative,no,no,no,1.06,470,505,"Sigma-Aldrich,UK",,18,0,,Chlorella vulgaris,yes,20,,no,NA,no,NA,504,21,100,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not possible to extract data: plot is model output, no raw data provided"
Al-Jaibachi2020,no,Daphnia magna,Daphnia,magna,NA,lab,PS,15,NA,1.5e4,NA,NA,spherical,green,yes,yes,carboxylated,negative,no,no,no,1.06,470,505,"Sigma-Aldrich,UK",,18,0,,Chlorella vulgaris,yes,20,,no,NA,no,NA,504,21,800,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not possible to extract data: plot is model output, no raw data provided"
